MLS SOURCE	COL_LONGNAME	JSON_Mapping	SA_POSITION
213-CDAR-AGENT.txt	Street1	ADDRESS1	Null
213-CDAR-AGENT.txt	Street2	ADDRESS2	Null
213-CDAR-AGENT.txt	Agent ID	AGENT_ID	Null
213-CDAR-AGENT.txt	City	CITY	Null
213-CDAR-AGENT.txt	Full Name	CONTACT_NAME	Null
213-CDAR-AGENT.txt	Email	EMAIL.AGENT.EMAIL_ADDRESS	Null
213-CDAR-AGENT.txt	First Name	FIRST_NAME	Null
213-CDAR-AGENT.txt	ShortID	IDENTIFEIR.AGENT_SHORT_ID	1
213-CDAR-AGENT.txt	Agent ID	IDENTIFIER.AGENT_ID	2
213-CDAR-AGENT.txt	Board Code	IDENTIFIER.BOARD_CODE	Null
213-CDAR-AGENT.txt	NRDSID	IDENTIFIER.NRDS_ID	Null
213-CDAR-AGENT.txt	Office ID	IDENTIFIER.OFFICE_ID	Null
213-CDAR-AGENT.txt	Office Short ID	IDENTIFIER.OFFICE_SHORT_ID	Null
213-CDAR-AGENT.txt	Language	LANGUAGE	Null
213-CDAR-AGENT.txt	Last Name	LAST_NAME	Null
213-CDAR-AGENT.txt	License Number	LICENSE.LICENSE_NUMBER	Null
213-CDAR-AGENT.txt	Middle Name	MIDDLE_NAME	Null
213-CDAR-AGENT.txt	Timestamp	MODIFIED_DATE	Null
213-CDAR-AGENT.txt	System Access	ORIGINATING_SYSTEM	Null
213-CDAR-AGENT.txt	Fax	PHONE.FAX.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Home Phone	PHONE.HOME.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Cell Phone	PHONE.MOBILE.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Office Phone	PHONE.OFFICE.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Pager	PHONE.PAGER.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Primary Phone	PHONE.PRIMARY.PHONE_NUMBER	Null
213-CDAR-AGENT.txt	Zip	POSTAL_CODE	Null
213-CDAR-AGENT.txt	Logon Type	ROSTER_TYPE	Null
213-CDAR-AGENT.txt	State	STATE_PROVINCE	Null
213-CDAR-AGENT.txt	Active Status	STATUS	Null
213-CDAR-AGENT.txt	ABR	UNMAPPED	Null
213-CDAR-AGENT.txt	Active	UNMAPPED	Null
213-CDAR-AGENT.txt	AHWD	UNMAPPED	Null
213-CDAR-AGENT.txt	ALC	UNMAPPED	Null
213-CDAR-AGENT.txt	Billable	UNMAPPED	Null
213-CDAR-AGENT.txt	CCIM	UNMAPPED	Null
213-CDAR-AGENT.txt	CDPE	UNMAPPED	Null
213-CDAR-AGENT.txt	CIPS	UNMAPPED	Null
213-CDAR-AGENT.txt	CPM	UNMAPPED	Null
213-CDAR-AGENT.txt	CRB	UNMAPPED	Null
213-CDAR-AGENT.txt	CRE	UNMAPPED	Null
213-CDAR-AGENT.txt	C-RETS	UNMAPPED	Null
213-CDAR-AGENT.txt	CRS	UNMAPPED	Null
213-CDAR-AGENT.txt	e-PRO	UNMAPPED	Null
213-CDAR-AGENT.txt	GAA	UNMAPPED	Null
213-CDAR-AGENT.txt	GREEN	UNMAPPED	Null
213-CDAR-AGENT.txt	GRI	UNMAPPED	Null
213-CDAR-AGENT.txt	Marketing Name	UNMAPPED	Null
213-CDAR-AGENT.txt	MLS Status	UNMAPPED	Null
213-CDAR-AGENT.txt	MRP	UNMAPPED	Null
213-CDAR-AGENT.txt	PMN	UNMAPPED	Null
213-CDAR-AGENT.txt	PSA	UNMAPPED	Null
213-CDAR-AGENT.txt	RAA	UNMAPPED	Null
213-CDAR-AGENT.txt	RCE	UNMAPPED	Null
213-CDAR-AGENT.txt	RENE	UNMAPPED	Null
213-CDAR-AGENT.txt	RSPS	UNMAPPED	Null
213-CDAR-AGENT.txt	SFR	UNMAPPED	Null
213-CDAR-AGENT.txt	SIOR	UNMAPPED	Null
213-CDAR-AGENT.txt	SRES	UNMAPPED	Null
213-CDAR-AGENT.txt	SRS	UNMAPPED	Null
213-CDAR-AGENT.txt	TRC	UNMAPPED	Null
213-CDAR-AGENT.txt	Visible In Lists	UNMAPPED	Null
213-CDAR-AGENT.txt	URL	WEBSITE.URL	Null
