MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
12-LSTAR_ON-AGENT.txt,MLSID,AGENT_ID,NULL
12-LSTAR_ON-AGENT.txt,Full Name,CONTACT_NAME,NULL
12-LSTAR_ON-AGENT.txt,Agent Designation,DESIGNATION,NULL
12-LSTAR_ON-AGENT.txt,Email,EMAIL.AGENT.EMAIL_ADDRESS,NULL
12-LSTAR_ON-AGENT.txt,First Name,FIRST_NAME,NULL
12-LSTAR_ON-AGENT.txt,Board,IDENTIFIER.BOARD,NULL
12-LSTAR_ON-AGENT.txt,Matrix Unique ID,IDENTIFIER.MATRIX_UNIQUE_ID,2
12-LSTAR_ON-AGENT.txt,Office MLSID,IDENTIFIER.OFFICE_MLS_ID,NULL
12-LSTAR_ON-AGENT.txt,Office MUI,IDENTIFIER.OFFICE_MUI,NULL
12-LSTAR_ON-AGENT.txt,Last Name,LAST_NAME,NULL
12-LSTAR_ON-AGENT.txt,Middle Name,MIDDLE_NAME,NULL
12-LSTAR_ON-AGENT.txt,MLS,MLS_COVERAGE,NULL
12-LSTAR_ON-AGENT.txt,Matrix Modified DT,MODIFIED_DATE,NULL
12-LSTAR_ON-AGENT.txt,Fax Phone,PHONE.FAX.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Home Phone,PHONE.HOME.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Cell Phone,PHONE.MOBILE.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Direct Work Phone,PHONE.OFFICE.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Other Phone,PHONE.OTHER.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Phone Pager,PHONE.PAGER.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Phone Preferred,PHONE.PREFERRED.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Phone Toll Free,PHONE.TOLL_FREE.PHONE_NUMBER,NULL
12-LSTAR_ON-AGENT.txt,Photo Count,PHOTO.COUNT,NULL
12-LSTAR_ON-AGENT.txt,Photo Modification Timestamp,PHOTO.MODIFIED_DATE,NULL
12-LSTAR_ON-AGENT.txt,Agent Type,ROSTER_TYPE,NULL
12-LSTAR_ON-AGENT.txt,Web Facebook,SOCIAL_NETWORK.FACEBOOK,NULL
12-LSTAR_ON-AGENT.txt,Web Linked In,SOCIAL_NETWORK.LINKEDIN,NULL
12-LSTAR_ON-AGENT.txt,Web Twitter,SOCIAL_NETWORK.TWITTER,NULL
12-LSTAR_ON-AGENT.txt,Agent Status,STATUS,NULL
12-LSTAR_ON-AGENT.txt,Generational Name,UNMAPPED,NULL
12-LSTAR_ON-AGENT.txt,IDX Opt In YN,UNMAPPED,NULL
12-LSTAR_ON-AGENT.txt,Web Page Address,WEBSITE.URL,NULL
