MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
22-HBMLS_ON-AGENT.txt,MLSID,AGENT_ID,NULL
22-HBMLS_ON-AGENT.txt,Full Name,CONTACT_NAME,NULL
22-HBMLS_ON-AGENT.txt,Membership Date,CREATED_DATE,NULL
22-HBMLS_ON-AGENT.txt,Agent Designation,DESIGNATION,NULL
22-HBMLS_ON-AGENT.txt,Email,EMAIL.AGENT.EMAIL_ADDRESS,NULL
22-HBMLS_ON-AGENT.txt,First Name,FIRST_NAME,NULL
22-HBMLS_ON-AGENT.txt,CREAID,IDENTIFIER.CREA_ID,NULL
22-HBMLS_ON-AGENT.txt,Matrix Unique ID,IDENTIFIER.MATRIX_UNIQUE_ID,2
22-HBMLS_ON-AGENT.txt,Office MUI,IDENTIFIER.OFFICE_MUI,NULL
22-HBMLS_ON-AGENT.txt,Last Name,LAST_NAME,NULL
22-HBMLS_ON-AGENT.txt,Middle Name,MIDDLE_NAME,NULL
22-HBMLS_ON-AGENT.txt,Matrix Modified DT,MODIFIED_DATE,NULL
22-HBMLS_ON-AGENT.txt,Fax Phone,PHONE.FAX.PHONE_NUMBER,NULL
22-HBMLS_ON-AGENT.txt,Cell Phone,PHONE.MOBILE.PHONE_NUMBER,NULL
22-HBMLS_ON-AGENT.txt,Direct Work Phone,PHONE.OFFICE.PHONE_NUMBER,NULL
22-HBMLS_ON-AGENT.txt,Photo Count,PHOTO.COUNT,NULL
22-HBMLS_ON-AGENT.txt,Photo Modification Timestamp,PHOTO.MODIFIED_DATE,NULL
22-HBMLS_ON-AGENT.txt,Agent Type,ROSTER_TYPE,NULL
22-HBMLS_ON-AGENT.txt,Web Facebook,SOCIAL_NETWORK.FACEBOOK,NULL
22-HBMLS_ON-AGENT.txt,Web Linked In,SOCIAL_NETWORK.LINKEDIN,NULL
22-HBMLS_ON-AGENT.txt,Web Twitter,SOCIAL_NETWORK.TWITTER,NULL
22-HBMLS_ON-AGENT.txt,Administration Information,UNMAPPED,NULL
22-HBMLS_ON-AGENT.txt,Web Page Address,WEBSITE.URL,NULL
