MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
344-BBOR_LA-AGENT.txt,Agent Address Street Name,ADDRESS1,Null
344-BBOR_LA-AGENT.txt,Agent Address2,ADDRESS2,Null
344-BBOR_LA-AGENT.txt,Agent Identifier,AGENT_ID,Null
344-BBOR_LA-AGENT.txt,Agent City,CITY,Null
344-BBOR_LA-AGENT.txt,Date Added,CREATED_DATE,Null
344-BBOR_LA-AGENT.txt,Agent Designation,DESIGNATION,Null
344-BBOR_LA-AGENT.txt,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
344-BBOR_LA-AGENT.txt,AOOffice Email,EMAIL.OFFICE.EMAIL_ADDRESS,Null
344-BBOR_LA-AGENT.txt,Agent First Name,FIRST_NAME,Null
344-BBOR_LA-AGENT.txt,AOBoard ID,IDENTIFIER.AOBOARD_ID,Null
344-BBOR_LA-AGENT.txt,AOMain Office ID,IDENTIFIER.AOMAIN_OFFICE_ID,Null
344-BBOR_LA-AGENT.txt,AOOriginal Office ID,IDENTIFIER.AOORIGINAL_OFFICE_ID,Null
344-BBOR_LA-AGENT.txt,Board User ID,IDENTIFIER.BOARD_USER_ID,Null
344-BBOR_LA-AGENT.txt,NRDS_ID,IDENTIFIER.NRDS_ID,Null
344-BBOR_LA-AGENT.txt,Agent Office ID,IDENTIFIER.OFFICE_ID,Null
344-BBOR_LA-AGENT.txt,Original Agent ID,IDENTIFIER.ORIGINAL_AGENT_ID,2
344-BBOR_LA-AGENT.txt,Original Office ID,IDENTIFIER.ORIGINAL_OFFICE_ID,Null
344-BBOR_LA-AGENT.txt,SEI ID,IDENTIFIER.SEI_ID,Null
344-BBOR_LA-AGENT.txt,Agent Last Name,LAST_NAME,Null
344-BBOR_LA-AGENT.txt,Agent License ID,LICENSE.LICENSE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent License Date,LICENSE.LICENSE_NUMBER.ISSUE_DATE,Null
344-BBOR_LA-AGENT.txt,State Agent Is Member Of,LICENSE.LICENSE_NUMBER.STATE,Null
344-BBOR_LA-AGENT.txt,Agent Middle Initial,MIDDLA_NAME,Null
344-BBOR_LA-AGENT.txt,Update Date,MODIFIED_DATE,Null
344-BBOR_LA-AGENT.txt,Agent Phone5 CountryId,PHONE.FAX.COUNTRY_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Phone5 Description,PHONE.FAX.DESCRIPTION,Null
344-BBOR_LA-AGENT.txt,Agent Phone5 Extension,PHONE.FAX.EXT,Null
344-BBOR_LA-AGENT.txt,Agent Phone5 Number,PHONE.FAX.PHONE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent Phone3 CountryId,PHONE.HOME.COUNTRY_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Phone3 Description,PHONE.HOME.DESCRIPTION,Null
344-BBOR_LA-AGENT.txt,Agent Phone3 Extension,PHONE.HOME.EXT,Null
344-BBOR_LA-AGENT.txt,Agent Phone3 Number,PHONE.HOME.PHONE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent Phone2 CountryId,PHONE.MOBILE.COUNTRY_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Phone2 Description,PHONE.MOBILE.DESCRIPTION,Null
344-BBOR_LA-AGENT.txt,Agent Phone2 Extension,PHONE.MOBILE.EXT,Null
344-BBOR_LA-AGENT.txt,Agent Phone2 Number,PHONE.MOBILE.PHONE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent Phone1 CountryId,PHONE.OFFICE.COUNTRY_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Phone1 Description,PHONE.OFFICE.DESCRIPTION,Null
344-BBOR_LA-AGENT.txt,Agent Phone1 Extension,PHONE.OFFICE.EXT,Null
344-BBOR_LA-AGENT.txt,Agent Phone1 Number,PHONE.OFFICE.PHONE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent Phone4 CountryId,PHONE.OTHER.COUNTRY_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Phone4 Description,PHONE.OTHER.DESCRIPTION,Null
344-BBOR_LA-AGENT.txt,Agent Phone4 Extension,PHONE.OTHER.EXT,Null
344-BBOR_LA-AGENT.txt,Agent Phone4 Number,PHONE.OTHER.PHONE_NUMBER,Null
344-BBOR_LA-AGENT.txt,Agent Zip,POSTAL_CODE,Null
344-BBOR_LA-AGENT.txt,Agent Type,ROSTER_TYPE,Null
344-BBOR_LA-AGENT.txt,Agent State,STATE_PROVINCE,Null
344-BBOR_LA-AGENT.txt,Agent Status,STATUS,Null
344-BBOR_LA-AGENT.txt,AOOffceAddressStreetName,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Abbreviation,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Address2,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice City,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Name,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Phone1 CountryId,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Phone1 Extension,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Phone1 Number,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice State,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Type,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Url,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOffice Zip,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOfficeCorporateLicense,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,AOOfficePhone1Description,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Active,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Active Book Count,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Birth Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail Address2,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail City,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail Preference,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail State,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail Street Name,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Mail Zip,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Photo Date,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Salutation,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Agent Training,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Board Dues Paid Through,UNMAPPED,Null
344-BBOR_LA-AGENT.txt,Corp PAC Contribution YTD,UNMAPPED,Null
