MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
499-MBOR_OH-AGENT,Mail Address 1,ADDRESS1,Null
499-MBOR_OH-AGENT,Mail Address 2,ADDRESS2,Null
499-MBOR_OH-AGENT,AGENT ID,AGENT_ID,1
499-MBOR_OH-AGENT,Mail City,CITY,Null
499-MBOR_OH-AGENT,Agent Created,CREATED_DATE,Null
499-MBOR_OH-AGENT,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
499-MBOR_OH-AGENT,First Name,FIRST_NAME,Null
499-MBOR_OH-AGENT,NRDS Number,IDENTIFIER.NRDS_NUMBER,2
499-MBOR_OH-AGENT,Office ID,IDENTIFIER.OFFICE_ID,Null
499-MBOR_OH-AGENT,SEI ID,IDENTIFIER.SEI_ID,Null
499-MBOR_OH-AGENT,Last Name,LAST_NAME,Null
499-MBOR_OH-AGENT,License Number,LICENSE.LICENSE_NUMBER,Null
499-MBOR_OH-AGENT,Agent Modifed,MODIFIED_DATE,Null
499-MBOR_OH-AGENT,Home,PHONE.HOME.PHONE_NUMBER,Null
499-MBOR_OH-AGENT,Text Message Phone #,PHONE.OTHER.PHONE_NUMBER,Null
499-MBOR_OH-AGENT,Mail Zip Code,POSTAL_CODE,Null
499-MBOR_OH-AGENT,Mail State,STATE_PROVINCE,Null
499-MBOR_OH-AGENT,Agent Status,STATUS,Null
499-MBOR_OH-AGENT,Agent Photo Date,UNMAPPED,Null
499-MBOR_OH-AGENT,Main,UNMAPPED,Null
499-MBOR_OH-AGENT,Password,UNMAPPED,Null
499-MBOR_OH-AGENT,Roster Types,UNMAPPED,Null
499-MBOR_OH-AGENT,Security Level,UNMAPPED,Null
499-MBOR_OH-AGENT,User Name,USER_NAME,Null
499-MBOR_OH-AGENT,Web Address,WEBSITE.URL,Null
