MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
508-MGMLS_GA-AGENT.txt,Street1,ADDRESS1,Null
508-MGMLS_GA-AGENT.txt,Street2,ADDRESS2,Null
508-MGMLS_GA-AGENT.txt,Agent ID,AGENT_ID,Null
508-MGMLS_GA-AGENT.txt,Agent ID,IDENTIFIER.AGENT_ID,2
508-MGMLS_GA-AGENT.txt,City,CITY,Null
508-MGMLS_GA-AGENT.txt,Full Name,CONTACT_NAME,Null
508-MGMLS_GA-AGENT.txt,Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
508-MGMLS_GA-AGENT.txt,First Name,FIRST_NAME,Null
508-MGMLS_GA-AGENT.txt,ShortID,IDENTIFIER.AGENT_SHORT_ID,1
508-MGMLS_GA-AGENT.txt,Board Code,IDENTIFIER.BOARD_CODE,Null
508-MGMLS_GA-AGENT.txt,Designated Broker,IDENTIFIER.DESIGNATED_BROKER,Null
508-MGMLS_GA-AGENT.txt,NRDSID,IDENTIFIER.NRDS_ID,Null
508-MGMLS_GA-AGENT.txt,Office ID,IDENTIFIER.OFFICE_ID,Null
508-MGMLS_GA-AGENT.txt,Office Short ID,IDENTIFIER.OFFICE_SHORT_ID,Null
508-MGMLS_GA-AGENT.txt,Language,LANGUAGE,Null
508-MGMLS_GA-AGENT.txt,Last Name,LAST_NAME,Null
508-MGMLS_GA-AGENT.txt,License Number,LICENSE.LICENSE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Middle Name,MIDDLE_NAME,Null
508-MGMLS_GA-AGENT.txt,Timestamp,MODIFIED_DATE,Null
508-MGMLS_GA-AGENT.txt,System Access,ORIGINATING_SYTEM,Null
508-MGMLS_GA-AGENT.txt,Fax,PHONE.FAX.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Home Phone,PHONE.HOME.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Cell Phone,PHONE.MOBILE.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Office Phone,PHONE.OFFICE.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Pager,PHONE.PAGER.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Primary Phone,PHONE.PRIMARY.PHONE_NUMBER,Null
508-MGMLS_GA-AGENT.txt,Zip,POSTAL_CODE,Null
508-MGMLS_GA-AGENT.txt,Logon Type,ROSTER_TYPE,Null
508-MGMLS_GA-AGENT.txt,State,STATE_PROVINCE,Null
508-MGMLS_GA-AGENT.txt,Active Status,STATUS,Null
508-MGMLS_GA-AGENT.txt,ABR,UNMAPPED,Null
508-MGMLS_GA-AGENT.txt,AHWD,UNMAPPED,Null
