MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
533-NCBOR_OK-AGENT.txt,Agent Address Street Name,ADDRESS1,Null
533-NCBOR_OK-AGENT.txt,Agent Address2,ADDRESS2,Null
533-NCBOR_OK-AGENT.txt,Agent Identifier,AGENT_ID,Null
533-NCBOR_OK-AGENT.txt,Agent City,CITY,Null
533-NCBOR_OK-AGENT.txt,Date Added,CREATED_DATE,Null
533-NCBOR_OK-AGENT.txt,Agent Designation,DESIGNATION,Null
533-NCBOR_OK-AGENT.txt,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
533-NCBOR_OK-AGENT.txt,AOOffice Email,EMAIL.OFFICE.EMAIL_ADRRESS,Null
533-NCBOR_OK-AGENT.txt,Agent First Name,FIRST_NAME,Null
533-NCBOR_OK-AGENT.txt,AOBoard ID,IDENTIFIER.AOBOARD_ID,Null
533-NCBOR_OK-AGENT.txt,AOMain Office ID,IDENTIFIER.AOMAIN_OFFICE_ID,Null
533-NCBOR_OK-AGENT.txt,Board User ID,IDENTIFIER.BOARD_USER_ID,Null
533-NCBOR_OK-AGENT.txt,NRDS_ID,IDENTIFIER.NRDS_ID,Null
533-NCBOR_OK-AGENT.txt,Agent Office ID,IDENTIFIER.OFFICE_ID,Null
533-NCBOR_OK-AGENT.txt,Agent Last Name,LAST_NAME,Null
533-NCBOR_OK-AGENT.txt,Agent License ID,LICENSE.LICENSE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent License Date,LICENSE.LICENSE_NUMBER.ISSUE_DATE,Null
533-NCBOR_OK-AGENT.txt,State Agent Is Member Of,LICENSE.LICENSE_NUMBER.STATE,Null
533-NCBOR_OK-AGENT.txt,Agent Middle Initial,MIDDLE_NAME,Null
533-NCBOR_OK-AGENT.txt,Update Date,MODIFIED_DATE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone5 CountryId,PHONE.FAX.COUNTRY_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone5 Description,PHONE.FAX.DESCRIPTION,Null
533-NCBOR_OK-AGENT.txt,Agent Phone5 Extension,PHONE.FAX.EXT,Null
533-NCBOR_OK-AGENT.txt,Agent Phone5 Number,PHONE.FAX.PHONE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent Phone3 CountryId,PHONE.HOME.COUNTRY_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone3 Description,PHONE.HOME.DESCRIPTION,Null
533-NCBOR_OK-AGENT.txt,Agent Phone3 Extension,PHONE.HOME.EXT,Null
533-NCBOR_OK-AGENT.txt,Agent Phone3 Number,PHONE.HOME.PHONE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent Phone2 CountryId,PHONE.MOBILE.COUNTRY_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone2 Description,PHONE.MOBILE.DESCRIPTION,Null
533-NCBOR_OK-AGENT.txt,Agent Phone2 Extension,PHONE.MOBILE.EXT,Null
533-NCBOR_OK-AGENT.txt,Agent Phone2 Number,PHONE.MOBILE.PHONE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent Phone1 CountryId,PHONE.OFFICE.COUNTRY_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone1 Description,PHONE.OFFICE.DESCRIPTION,Null
533-NCBOR_OK-AGENT.txt,Agent Phone1 Extension,PHONE.OFFICE.EXT,Null
533-NCBOR_OK-AGENT.txt,Agent Phone1 Number,PHONE.OFFICE.PHONE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent Phone4 CountryId,PHONE.OTHER.COUNTRY_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Phone4 Description,PHONE.OTHER.DESCRIPTION,Null
533-NCBOR_OK-AGENT.txt,Agent Phone4 Extension,PHONE.OTHER.EXT,Null
533-NCBOR_OK-AGENT.txt,Agent Phone4 Number,PHONE.OTHER.PHONE_NUMBER,Null
533-NCBOR_OK-AGENT.txt,Agent Zip,POSTAL_CODE,Null
533-NCBOR_OK-AGENT.txt,Agent Type,ROSTER_TYPE,Null
533-NCBOR_OK-AGENT.txt,Agent State,STATE_PROVINCE,Null
533-NCBOR_OK-AGENT.txt,Agent Status,STATUS,Null
533-NCBOR_OK-AGENT.txt,AOOffceAddressStreetName,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Abbreviation,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Address2,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice City,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Name,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Phone1 CountryId,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Phone1 Extension,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Phone1 Number,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice State,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Type,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Url,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOffice Zip,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,AOOfficePhone1Description,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Active,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Active Book Count,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Birth Date,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail Address2,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail City,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail Preference,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail State,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail Street Name,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Mail Zip,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Salutation,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Training,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Board Dues Paid Through,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Corp PAC Contribution YTD,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Date Agent Type Changed,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Date Assigned to Office,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Date Key Assigned,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Date of Agt State Mbrshp,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Distributed User,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Dues Paid to Board,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Hash,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Last Trigger Date,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Lock Box Key Deposit,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Lock Box Number,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Lst PAC Contrib Check #,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Lst PAC Contribution Date,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Multiple Logon,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Number of Keys,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Pers PAC Contribution YTD,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Photographer,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Prev Year PAC Contribute,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Previous Key Number,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Security Level,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Sold Book Count,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Spouse First Name,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Status Date,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Training Date,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,UPAgent image Timestamp,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,UPLogo image Timestamp,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,UPPreferred Phone,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Update By Agent,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,User Code,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,User Photos Code,UNMAPPED,Null
533-NCBOR_OK-AGENT.txt,Agent Logon Name,USER_NAME,Null
533-NCBOR_OK-AGENT.txt,Agent Url,WEBSITE.URL,Null
