MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
600-SWGMLS_GA-AGENT.txt,Mail Address 1,ADDRESS1,Null
600-SWGMLS_GA-AGENT.txt,Mail Address 2,ADDRESS2,Null
600-SWGMLS_GA-AGENT.txt,AGENT ID,AGENT_ID,1
600-SWGMLS_GA-AGENT.txt,Mail City,CITY,Null
600-SWGMLS_GA-AGENT.txt,Agent Created,CREATED_DATE,Null
600-SWGMLS_GA-AGENT.txt,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
600-SWGMLS_GA-AGENT.txt,First Name,FIRST_NAME,Null
600-SWGMLS_GA-AGENT.txt,NRDS Number,IDENTIFIER.NRDS_ID,2
600-SWGMLS_GA-AGENT.txt,Office ID,IDENTIFIER.OFFICE_ID,Null
600-SWGMLS_GA-AGENT.txt,SEI ID,IDENTIFIER.SEI_ID,Null
600-SWGMLS_GA-AGENT.txt,Last Name,LAST_NAME,Null
600-SWGMLS_GA-AGENT.txt,License Number,LICENSE.LICENSE_NUMBER,Null
600-SWGMLS_GA-AGENT.txt,Agent Modifed,MODIFIED_DATE,Null
600-SWGMLS_GA-AGENT.txt,Home,PHONE.HOME.PHONE_NUMBER,Null
600-SWGMLS_GA-AGENT.txt,Contact #,PHONE.OFFICE.OFFICE_NUMBER,Null
600-SWGMLS_GA-AGENT.txt,Text Message Phone #,PHONE.TEXT_MESSAGE.PHONE_NUMBER,Null
600-SWGMLS_GA-AGENT.txt,Mail Zip Code,POSTAL_CODE,Null
600-SWGMLS_GA-AGENT.txt,Roster Types,ROSTER_TYPE,Null
600-SWGMLS_GA-AGENT.txt,Mail State,STATE_PROVINCE,Null
600-SWGMLS_GA-AGENT.txt,Agent Status,STATUS,Null
600-SWGMLS_GA-AGENT.txt,Agent Photo Date,UNMAPPED,Null
600-SWGMLS_GA-AGENT.txt,Password,UNMAPPED,Null
600-SWGMLS_GA-AGENT.txt,Security Level,UNMAPPED,Null
600-SWGMLS_GA-AGENT.txt,User Name,USER_NAME,Null
600-SWGMLS_GA-AGENT.txt,Web Address,WEBSITE.URL,Null
