MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
636-WMAR_AZ-AGENT.txt,Street1,ADDRESS1,Null
636-WMAR_AZ-AGENT.txt,Street2,ADDRESS2,Null
636-WMAR_AZ-AGENT.txt,Agent ID,AGENT_ID,Null
636-WMAR_AZ-AGENT.txt,City,CITY,Null
636-WMAR_AZ-AGENT.txt,Full Name,CONTACT_NAME,Null
636-WMAR_AZ-AGENT.txt,Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
636-WMAR_AZ-AGENT.txt,First Name,FIRST_NAME,Null
636-WMAR_AZ-AGENT.txt,ShortID,IDENTIFIER.AGENT_SHORT_ID,Null
636-WMAR_AZ-AGENT.txt,Board Code,IDENTIFIER.BOARD_CODE,Null
636-WMAR_AZ-AGENT.txt,NRDSID,IDENTIFIER.NRDS_ID,Null
636-WMAR_AZ-AGENT.txt,Office ID,IDENTIFIER.OFFICE_ID,Null
636-WMAR_AZ-AGENT.txt,Office Short ID,IDENTIFIER.OFFICE_SHORT_ID,1
636-WMAR_AZ-AGENT.txt,Language,LANGUAGE,Null
636-WMAR_AZ-AGENT.txt,Last Name,LAST_NAME,Null
636-WMAR_AZ-AGENT.txt,License Number,LICENSE.LICENSE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Middle Name,MIDDLE_NAME,Null
636-WMAR_AZ-AGENT.txt,Timestamp,MODIFIED_DATE,Null
636-WMAR_AZ-AGENT.txt,System Access,ORIGINATING_SYSTEM,Null
636-WMAR_AZ-AGENT.txt,Fax,PHONE.FAX.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Home Phone,PHONE.HOME.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Cell Phone,PHONE.MOBILE.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Office Phone,PHONE.OFFICE.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Pager,PHONE.PAGER.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Primary Phone,PHONE.PRIMARY.PHONE_NUMBER,Null
636-WMAR_AZ-AGENT.txt,Zip,POSTAL_CODE,Null
636-WMAR_AZ-AGENT.txt,Logon Type,ROSTER_TYPE,Null
636-WMAR_AZ-AGENT.txt,State,STATE_PROVINCE,Null
636-WMAR_AZ-AGENT.txt,Active Status,STATUS,Null
636-WMAR_AZ-AGENT.txt,ABR,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,Active,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,BPOR,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,Billable,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CCIM,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CDPE,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CIPS,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CNE,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CRB,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CRS,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,CSSN,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,E-PRO,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,GRI,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,LTG,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,MLS Status,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,MRE,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,Marketing Name,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,PMN,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,SFR,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,SRES,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,Visible In Lists,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,rCRMS,UNMAPPED,Null
636-WMAR_AZ-AGENT.txt,URL,WEBSITE.URL,Null
