MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
646-OVMLS_CA-AGENT.txt,Member Number,AGENT_ID,Null
646-OVMLS_CA-AGENT.txt,City,CITY,Null
646-OVMLS_CA-AGENT.txt,County,COUNTY,Null
646-OVMLS_CA-AGENT.txt,First Name,FIRST_NAME,Null
646-OVMLS_CA-AGENT.txt,Office Number,IDENTIFIER.OFFICE_ID,2
646-OVMLS_CA-AGENT.txt,Last Name,LAST_NAME,Null
646-OVMLS_CA-AGENT.txt,LastModified Date Time,MODIFIED_DATE,Null
646-OVMLS_CA-AGENT.txt,Office Name,NAME,Null
646-OVMLS_CA-AGENT.txt,Contact Phone Number 1,PHONE.CONTACT_PHONE.PHONE_NUMBER,Null
646-OVMLS_CA-AGENT.txt,Cellular Phone,PHONE.MOBILE.PHONE_NUMBER,Null
646-OVMLS_CA-AGENT.txt,Off Direct Phone,PHONE.OFFICE.PHONE_NUMBER,Null
646-OVMLS_CA-AGENT.txt,Contact Phone Area Code 1,UNMAPPED,Null
646-OVMLS_CA-AGENT.txt,Is Active in the MLS,UNMAPPED,Null
