MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
690-PNPANBR_TX-AGENT.txt,Mail Address 1,ADDRESS1,Null
690-PNPANBR_TX-AGENT.txt,Mail Address 2,ADDRESS2,Null
690-PNPANBR_TX-AGENT.txt,AGENT ID,AGENT_ID,Null
690-PNPANBR_TX-AGENT.txt,Mail City,CITY,Null
690-PNPANBR_TX-AGENT.txt,Agent Created,CREATED_DATE,Null
690-PNPANBR_TX-AGENT.txt,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
690-PNPANBR_TX-AGENT.txt,First Name,FIRST_NAME,Null
690-PNPANBR_TX-AGENT.txt,NRDS Number,IDENTIFIER.NRDS_ID,2
690-PNPANBR_TX-AGENT.txt,Office ID,IDENTIFIER.OFFICE_ID,Null
690-PNPANBR_TX-AGENT.txt,Last Name,LAST_NAME,Null
690-PNPANBR_TX-AGENT.txt,License Number,LICENSE.LICENSE_NUMBER,Null
690-PNPANBR_TX-AGENT.txt,Agent Modifed,MODIFIED_DATE,Null
690-PNPANBR_TX-AGENT.txt,Home,PHONE.HOME.PHONE_NUMBER,Null
690-PNPANBR_TX-AGENT.txt,Contact #,PHONE.OFFICE.PHONE_NUMBER,Null
690-PNPANBR_TX-AGENT.txt,Text Message Phone #,PHONE.TEXT_MESSAGE.PHONE_NUMBER,Null
690-PNPANBR_TX-AGENT.txt,Agent Photo Date,PHOTO.CREATED_DATE,Null
690-PNPANBR_TX-AGENT.txt,Mail Zip Code,POSTAL_CODE,Null
690-PNPANBR_TX-AGENT.txt,Roster Types,ROSTER_TYPE,Null
690-PNPANBR_TX-AGENT.txt,Mail State,STATE_PROVINCE,Null
690-PNPANBR_TX-AGENT.txt,Agent Status,STATUS,Null
690-PNPANBR_TX-AGENT.txt,Password,UNMAPPED,Null
690-PNPANBR_TX-AGENT.txt,Security Level,UNMAPPED,Null
690-PNPANBR_TX-AGENT.txt,User Name,USER_NAME,Null
690-PNPANBR_TX-AGENT.txt,Web Address,WEBSITE.URL,Null
