MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
720-MBOR_MI-AGENT.txt,Agent Address Street Name,ADDRESS1,Null
720-MBOR_MI-AGENT.txt,Agent Address2,ADDRESS2,Null
720-MBOR_MI-AGENT.txt,Agent Identifier,AGENT_ID,Null
720-MBOR_MI-AGENT.txt,Agent Identifier,IDENTIFIER.AGENT_ID,2
720-MBOR_MI-AGENT.txt,Agent City,CITY,Null
720-MBOR_MI-AGENT.txt,Date Added,CREATED_DATE,Null
720-MBOR_MI-AGENT.txt,Agent Designation,DESIGNATION,Null
720-MBOR_MI-AGENT.txt,Agent Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
720-MBOR_MI-AGENT.txt,AOOffice Email,EMAIL.OFFICE.EMAIL_ADDRESS,Null
720-MBOR_MI-AGENT.txt,Agent First Name,FIRST_NAME,Null
720-MBOR_MI-AGENT.txt,AOBoard ID,IDENTIFIER.AOBOARD_ID,Null
720-MBOR_MI-AGENT.txt,AOFirm GroupID,IDENTIFIER.AOFIRM.GROUP_ID,Null
720-MBOR_MI-AGENT.txt,AOMain Office ID,IDENTIFIER.AOMAIN.OFFICE_ID,Null
720-MBOR_MI-AGENT.txt,AOMIREX Office Key,IDENTIFIER.AOMIREX.OFFICE_KEY,Null
720-MBOR_MI-AGENT.txt,AOOffice GroupID,IDENTIFIER.AOOFFICE.GROUP_ID,Null
720-MBOR_MI-AGENT.txt,Board User ID,IDENTIFIER.BOARD_USER_ID,Null
720-MBOR_MI-AGENT.txt,MIREX Agent Key,IDENTIFIER.MIREX_AGENT_KEY,Null
720-MBOR_MI-AGENT.txt,MIREX Board,IDENTIFIER.MIREX_BOARD,Null
720-MBOR_MI-AGENT.txt,MIREX Office Key,IDENTIFIER.MIREX_KEY,Null
720-MBOR_MI-AGENT.txt,NRDS_ID,IDENTIFIER.NRDS_ID,Null
720-MBOR_MI-AGENT.txt,Agent Office ID,IDENTIFIER.OFFICE_ID,Null
720-MBOR_MI-AGENT.txt,Original Agent ID,IDENTIFIER.ORIGINAL_AGENT_ID,1
720-MBOR_MI-AGENT.txt,Agent Last Name,LAST_NAME,Null
720-MBOR_MI-AGENT.txt,Agent License ID,LICENSE.LICENSE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent License Date,LICENSE.LICENSE_NUMBER.ISSUE_DATE,Null
720-MBOR_MI-AGENT.txt,State Agent Is Member Of,LICENSE.LICENSE_NUMBER.STATE,Null
720-MBOR_MI-AGENT.txt,Agent Middle Initial,MIDDLE_NAME,Null
720-MBOR_MI-AGENT.txt,Update Date,MODIFIED_DATE,Null
720-MBOR_MI-AGENT.txt,Agent Phone5 CountryId,PHONE.FAX.COUNTRY_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Phone5 Description,PHONE.FAX.DESCRITPION,Null
720-MBOR_MI-AGENT.txt,Agent Phone5 Extension,PHONE.FAX.EXT,Null
720-MBOR_MI-AGENT.txt,Agent Phone5 Number,PHONE.FAX.PHONE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent Phone3 CountryId,PHONE.HOME.COUNTRY_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Phone3 Description,PHONE.HOME.DESCRITPION,Null
720-MBOR_MI-AGENT.txt,Agent Phone3 Extension,PHONE.HOME.EXT,Null
720-MBOR_MI-AGENT.txt,Agent Phone3 Number,PHONE.HOME.PHONE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent Phone2 CountryId,PHONE.MOBILE.COUNTRY_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Phone2 Description,PHONE.MOBILE.DESCRITPION,Null
720-MBOR_MI-AGENT.txt,Agent Phone2 Extension,PHONE.MOBILE.EXT,Null
720-MBOR_MI-AGENT.txt,Agent Phone2 Number,PHONE.MOBILE.PHONE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent Phone1 CountryId,PHONE.OFFICE.COUNTRY_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Phone1 Description,PHONE.OFFICE.DESCRITPION,Null
720-MBOR_MI-AGENT.txt,Agent Phone1 Extension,PHONE.OFFICE.EXT,Null
720-MBOR_MI-AGENT.txt,Agent Phone1 Number,PHONE.OFFICE.PHONE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent Phone4 CountryId,PHONE.OTHER.COUNTRY_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Phone4 Description,PHONE.OTHER.DESCRITPION,Null
720-MBOR_MI-AGENT.txt,Agent Phone4 Extension,PHONE.OTHER.EXT,Null
720-MBOR_MI-AGENT.txt,Agent Phone4 Number,PHONE.OTHER.PHONE_NUMBER,Null
720-MBOR_MI-AGENT.txt,Agent Zip,POSTAL_CODE,Null
720-MBOR_MI-AGENT.txt,Agent Type,ROSTER_TYPE,Null
720-MBOR_MI-AGENT.txt,Agent State,STATE_PROVINCE,Null
720-MBOR_MI-AGENT.txt,Agent Status,STATUS,Null
720-MBOR_MI-AGENT.txt,AOBroker Name Attended,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOBroker Welcome Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOCorporate License,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AODMCA,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AONotes,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffce Address Street Name,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Abbreviation,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Address2,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice City,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Name,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Phone1 CountryId,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Phone1 Description,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Phone1 Extension,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Phone1 Number,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice State,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Type,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Url,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOffice Zip,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOriginal Office ID,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOOriginating Database,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOStock #,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOStock Issue Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,AOStock Refund Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Active,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Active Book Count,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Birth Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent IDX PIN,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail Address2,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail City,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail Preference,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail State,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail Street Name,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Mail Zip,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Password,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Salutation,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Subscriptions,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Termination Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Agent Training,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Board Dues Paid Through,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,CloudCMA Activation,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Corp PAC Contribution YTD,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Date Agent Type Changed,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Date Assigned to Office,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Date Key Assigned,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Date of Agt State Mbrshp,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Distributed User,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Dues Paid to Board,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Hash,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Last Trigger Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Lock Box Key Deposit,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Lock Box Number,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Lst PAC Contrib Check #,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Lst PAC Contribution Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,MIREX Board Verified,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Multiple Logon,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,New Agent Date,UNMAPPED,Null
720-MBOR_MI-AGENT.txt,Notes,UNMAPPED,Null
