MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
837-NCRMLS_NC-AGENT.txt,Street1,ADDRESS1,Null
837-NCRMLS_NC-AGENT.txt,Street2,ADDRESS2,Null
837-NCRMLS_NC-AGENT.txt,Agent ID,AGENT_ID,1
837-NCRMLS_NC-AGENT.txt,City,CITY,Null
837-NCRMLS_NC-AGENT.txt,Full Name,CONTACT_NAME,Null
837-NCRMLS_NC-AGENT.txt,Email,EMAIL.AGENT.EMAIL_ADDRESS,Null
837-NCRMLS_NC-AGENT.txt,First Name,FIRST_NAME,Null
837-NCRMLS_NC-AGENT.txt,ShortID,IDENTIFIER.AGENT_SHORT_ID,Null
837-NCRMLS_NC-AGENT.txt,Board Code,IDENTIFIER.BOARD_CODE,Null
837-NCRMLS_NC-AGENT.txt,NRDSID,IDENTIFIER.NRDS_ID,Null
837-NCRMLS_NC-AGENT.txt,Office ID,IDENTIFIER.OFFICE_ID,Null
837-NCRMLS_NC-AGENT.txt,Office Short ID,IDENTIFIER.OFFICE_SHORT_ID,2
837-NCRMLS_NC-AGENT.txt,Language,LANGUAGE,Null
837-NCRMLS_NC-AGENT.txt,Last Name,LAST_NAME,Null
837-NCRMLS_NC-AGENT.txt,License Number,LICENSE.LICENSE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Middle Name,MIDDLE_NAME,Null
837-NCRMLS_NC-AGENT.txt,Timestamp,MODIFIED_DATE,Null
837-NCRMLS_NC-AGENT.txt,System Access,ORIGINATING_SYSTEM,Null
837-NCRMLS_NC-AGENT.txt,Fax,PHONE.FAX.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Home Phone,PHONE.HOME.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Cell Phone,PHONE.MOBILE.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Office Phone,PHONE.OFFICE.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Primary Phone,PHONE.OTHER.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Pager,PHONE.PAGER.PHONE_NUMBER,Null
837-NCRMLS_NC-AGENT.txt,Zip,POSTAL_CODE,Null
837-NCRMLS_NC-AGENT.txt,Logon Type,ROSTER_TYPE,Null
837-NCRMLS_NC-AGENT.txt,State,STATE_PROVINCE,Null
837-NCRMLS_NC-AGENT.txt,Active Status,STATUS,Null
837-NCRMLS_NC-AGENT.txt,ABR,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,ABRM,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,Active,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,AHS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,AHWD,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,ALC,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,ALHS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,ASP,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,ASR,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,Billable,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,BPOR,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CCIM,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CIPS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CNE,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CPM,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CRB,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CRE,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CREN,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,CRS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,e-PRO,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,GAA,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,GREEN,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,GRI,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,LEED,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,MAI,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,Marketing Name,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,MCNE,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,MLS Status,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,MRP,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,Option 1,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,Option 2,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,PMN,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,RAA,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,RLI,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,RRS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,RSPS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SFR,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SIOR,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SLS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SNS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SRA,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SRES,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,SRS,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,URL,WEBSITE.URL,Null
837-NCRMLS_NC-AGENT.txt,Visible In Lists,UNMAPPED,Null
837-NCRMLS_NC-AGENT.txt,WHS,UNMAPPED,Null
