MLS SOURCE,COL_LONGNAME,JSON_Mapping,SA_POSITION
860-NYSAMLS_NY-AGENT_STG.txt,MemberAddress1,ADDRESS1,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAddress2,ADDRESS2,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberMlsId,AGENT_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberCity,CITY,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberFullName,CONTACT_NAME,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberCountry,COUNTRY,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberCountyOrParish,COUNTY,Null
860-NYSAMLS_NY-AGENT_STG.txt,OriginalEntryTimestamp,CREATED_DATE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberDesignation,DESIGNATION,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberEmail,EMAIL.AGENT.EMAIL_ADDRESS,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberFirstName,FIRST_NAME,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberKey,IDENTIFIER.AGENT_KEY,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberLoginId,IDENTIFIER.LOGIN_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAORkey,IDENTIFIER.MEMBER_AOR_KEY,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAORMlsId,IDENTIFIER.MEMBER_AORMLS_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberNationalAssociationId,IDENTIFIER.MEMBER_NRDS_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,OfficeMlsId,IDENTIFIER.OFFICE_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,OriginatingSystemID,IDENTIFIER.ORIGINATING_SYSTEM_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,OriginatingSystemMemberKey,IDENTIFIER.ORIGINATING_SYSTEM_KEY,Null
860-NYSAMLS_NY-AGENT_STG.txt,SourceSystemID,IDENTIFIER.SOURCE_SYSTEM_ID,Null
860-NYSAMLS_NY-AGENT_STG.txt,SourceSystemMemberKey,IDENTIFIER.SOURCE_SYSTEM_KEY,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberLanguages,LANGUAGE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberLastName,LAST_NAME,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberStateLicense,LICENSE.LICENSE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberStateLicenseState,LICENSE.STATE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberMiddleName,MIDDLE_NAME,Null
860-NYSAMLS_NY-AGENT_STG.txt,ModificationTimestamp,MODIFIED_DATE,Null
860-NYSAMLS_NY-AGENT_STG.txt,OriginatingSystemName,ORIGINATING_SYSTEM,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberDirectPhone,PHONE.DIRECT.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberFax,PHONE.FAX.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberHomePhone,PHONE.HOME.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberMobilePhone,PHONE.MOBILE.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberOtherPhoneType,PHONE.OFFICE.DESCRIPTION,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberOfficePhoneExt,PHONE.OFFICE.EXT,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberOfficePhone,PHONE.OFFICE.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPager,PHONE.PAGER.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPreferredPhoneExt,PHONE.PREFERRED.EXT,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPreferredPhone,PHONE.PREFERRED.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberTollFreePhone,PHONE.TOLL_FREE.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPhoneTTYTDD,PHONE.TTY_TTD.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberVoiceMailExt,PHONE.VOICE_MAIL.EXT,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberVoiceMail,PHONE.VOICE_MAIL.PHONE_NUMBER,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPostalCode,POSTAL_CODE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberType,ROSTER_TYPE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberStateOrProvince,STATE_PROVINCE,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberStatus,STATUS,Null
860-NYSAMLS_NY-AGENT_STG.txt,JobTitle,TITLE,Null
860-NYSAMLS_NY-AGENT_STG.txt,LastLoginTimestamp,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAOR,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAORkeyNumeric,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberAssociationComments,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberCarrierRoute,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberIsAssistantTo,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberKeyNumeric,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberMlsAccessYN,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberMlsSecurityClass,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberNamePrefix,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberNameSuffix,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPassword,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberPostalCodePlus4,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,OfficeKey,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,OfficeKeyNumeric,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,OfficeName,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,OriginatingSystemSubName,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,Permission,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,PermissionPrivate,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,SocialMediaType,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,SourceSystemName,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,SyndicateTo,UNMAPPED,Null
860-NYSAMLS_NY-AGENT_STG.txt,MemberNickname,USER_CODE,Null
